house_name,location,bedroom_count,bathroom_count,carport_count,price,land_area (m2),building_area (m2),category
"Rumah 2 Lantai Bagus Sertifikat Hak Milik di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000,137,170,rumah
Rumah Cantik @ Andir (Sudirman),"Andir, Bandung",3,2,3,4100000000,202,300,rumah
Jual Cepat Rumah di Maleber Rajawali Bisa Untuk Usaha,"Andir, Bandung",5,2,1,3300000000,350,258,rumah
Rumah minimalis 3 lantai di andir Bandung cocok buat tempat usaha,"Andir, Bandung",2,2,1,580000000,30,80,rumah
Jual Rumah Murah Bisa Dijadikan Kos”an Di Jalan Maleber,"Andir, Bandung",11,3,0,1300000000,176,176,kos
"Rumah 2,5 Lantai Strategis SHM di Komplek Kertalaksana Bandung","Andir, Bandung",5,3,1,3600000000,184,234,rumah
Rumah Bagus Semi Furnished Gateway Residence Gunung Batu Bandung,"Andir, Bandung",2,1,1,1170000000,65,45,rumah
Rumah 2 Lantai Cocok Untuk Gudang Dll Di Daerah Dadali Bandung,"Andir, Bandung",4,3,2,2900000000,260,260,rumah
Rumah Nyaman Di Tengah Kota dan Pusat Keramaian,"Andir, Bandung",5,3,2,4500000000,404,250,rumah
"Rumah Nyaman Siap Huni Di Maltra Residence, Bandung","Andir, Bandung",3,2,2,2100000000,137,170,rumah
Jual Rumah Bagus Taman Pesona Mediteran Sayap Paster Bandung,"Andir, Bandung",4,3,2,2200000000,172,220,rumah
RUMAH PUSAT KOTA SAYAP SUDIRMAN BANDUNG,"Andir, Bandung",2,2,1,1400000000,137,160,rumah
Dijual Rumah Di Tengah Kota Bandung,"Andir, Bandung",6,3,6,7000000000,188,260,rumah
"Rumah di Kertalaksana, Kong Liong, Bandung","Andir, Bandung",5,5,1,3600000000,184,250,rumah
"Rumah 3 Lantai Bagus Semi Furnished di Sayap Rajawali, Bandung","Andir, Bandung",6,5,1,7500000000,268,700,rumah
"Rumah Strategis di Komplek Dadali Bandung Dkt Rs , Stasiun Kereta","Andir, Bandung",4,3,7,5800000000,400,400,rumah
Dijual Rumah Lama Terawat Nyaman Strategis di Komplek Dadali,"Andir, Bandung",4,3,0,3500000000,222,196,rumah
Dijual Rumah Minimalis Modern Furnish di Istana Sudirman Regency,"Andir, Bandung",3,2,2,1500000000,74,78,rumah
Dijual Rumah Cantik Hoki Strategis di Komplek Dadali,"Andir, Bandung",3,3,1,8000000000,399,309,rumah
Dijual Rumah Nyaman 2 Lantai Tengah Kota di Komplek Elang,"Andir, Bandung",6,5,2,1500000000,187,370,rumah
"Rumah Siap Huni Sayap Gunung Batu, Babakan Cianjur, Pasteur","Andir, Bandung",4,1,0,650000000,180,90,rumah
